rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,chart_week,is_new_entry,rank_change,genre
58,spotify:track:2pm7K14nHj2fLrpU8j9bit,PC,10 Ngàn Năm,12 trái lê,27,63,200,320524,2026-04-09,FALSE,5,Rap/Hip-hop
59,spotify:track:6ag0c7tBr3PIqPb00C2rK4,"VCT, Negav, Jey B, Ngô Kiến Huy",NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN - KHÔNG ĐAU NỮA RỒI,VIE NETWORK CORPORATION / ADA,45,45,6,317114,2026-04-09,FALSE,-14,Rap/Hip-hop
60,spotify:track:2dPJtlvoa3GDowCh035M8P,Vũ.,Nếu Những Tiếc Nuối,WM Vietnam,33,57,51,316733,2026-04-09,FALSE,-3,Indie/Alternative
61,spotify:track:2Pwou3Q2Cf59RxdX2V6MgV,Shiki,Có Đôi Điều,12 trái lê,10,55,67,311723,2026-04-09,FALSE,-6,Rap/Hip-hop
62,spotify:track:3J3nv18iIrOhca1ZWNeuyW,JustaTee,Đã Lỡ Yêu Em Nhiều,NGUYEN THANH TUAN,36,67,166,309837,2026-04-09,FALSE,5,Ballad
63,spotify:track:1hPbWyZnUPaeAWbOSKwkXJ,Quang Đăng Trần,Anh Đã Không Biết Cách Yêu Em,338ENT,9,56,36,304400,2026-04-09,FALSE,-7,Ballad
64,spotify:track:1MiJk3dXC5jzhvLFP0dUM7,Da LAB,Thức Giấc,Yin Yang Media,1,66,248,302944,2026-04-09,FALSE,2,Pop
65,spotify:track:2w7jOvl0kpplNxisgfnCdT,"Đức Trường, BMZ",Nếu Biết Đó Là Lần Cuối,BMZ,47,94,31,299989,2026-04-09,FALSE,29,Ballad
66,spotify:track:3P3rcI48wwVEgxF5vPM6pG,Sơn Tùng M-TP,Buông Đôi Tay Nhau Ra,Umusic Vietnam Co. Ltd. Distributed Labels,7,90,143,298464,2026-04-09,FALSE,24,Ballad
67,spotify:track:2uZmeuNAxSm7XfVIwLkhCx,Ronboogz,nhắn nhủ,MaiDao Music,14,85,121,288664,2026-04-09,FALSE,18,Indie/Alternative
68,spotify:track:39KWnPNEvbXt423CzjvBfA,SOOBIN,Anh Đã Quen Với Cô Đơn,WM Vietnam,40,60,73,288352,2026-04-09,FALSE,-8,Ballad
69,spotify:track:5ouxRyInSdRBQubu3KTd97,"tlinh, 2Pillz",nếu lúc đó,M Music Records,1,75,162,286477,2026-04-09,FALSE,6,R&B/Soul
70,spotify:track:7dlgEjrK3lHbP786dshKDV,"ANH TRAI ""SAY HI"", B Ray, AMEE",CHỜ ANH VỀ,Universal Music Indochina Distributed Labels,2,53,18,285241,2026-04-09,FALSE,-17,Rap/Hip-hop
71,spotify:track:2gyJ83K0VJk7Ug1J4Qoaki,GREY D,tựa đầu,Umusic Vietnam Co. Ltd. Distributed Labels,71,143,2,285154,2026-04-09,FALSE,72,R&B/Soul
72,spotify:track:6jcLKVmEKAQIXIVHJZ8vzS,"MONSTAR, GREY D, NICKY, VƯƠNG BÌNH",tình yêu chậm trễ,Yin Yang Media,46,126,173,284354,2026-04-09,FALSE,54,R&B/Soul
73,spotify:track:3CmacJj7VC4W6daC8BWd0h,Dương Domic,Mất Kết Nối,DAO Entertainment,2,41,72,283681,2026-04-09,FALSE,-32,R&B/Soul
74,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,27,131,281238,2026-04-09,FALSE,-47,Pop
75,spotify:track:317Lh6QCAz9JpWbV3oxrCf,"Phùng Khánh Linh, Thành Luke",EM ĐAU,BLACK SWAN LABEL LLC.,62,62,13,277499,2026-04-09,FALSE,-13,Ballad
76,spotify:track:0s7RyyUlQfd8mnnboHe18n,"MANBO, HIEUTHUHAI, HURRYKNG",Hẹn Gặp Em Dưới Ánh Trăng,Gerdnang,20,59,108,276671,2026-04-09,FALSE,-17,Rap/Hip-hop
77,spotify:track:4UC3NBjtqbYcqPqRq1s57D,Lyly,24h,WM Vietnam,47,73,47,274458,2026-04-09,FALSE,-4,Ballad
78,spotify:track:4D1eaEIisnWCVPMnYuMh7q,白浩贤BlueC,漫步香港1999,腾讯音乐人,13,58,8,271956,2026-04-09,FALSE,-20,Indie/Alternative
79,spotify:track:3HNcWoUo4jot56Kw1Kc6vN,GREY D,mộng tình,Umusic Vietnam Co. Ltd. Distributed Labels,79,118,2,270701,2026-04-09,FALSE,39,R&B/Soul
80,spotify:track:1xoadYaxtOp9gHDwgmPDuz,"JSOL, Hoàng Duyên",Sài Gòn Hôm Nay Mưa,Universal Music Indochina,3,84,254,269305,2026-04-09,FALSE,4,Ballad
81,spotify:track:36fgG6NiEuQXznNgf5y2Ck,"T.R.I, Dangrangto, DONAL",một bài hát không vui mấy - Extended Version,Umusic Vietnam Co. Ltd. Distributed Labels,26,77,66,269277,2026-04-09,FALSE,-4,Ballad
82,spotify:track:3A9A7mfVDVm3rrS9SMGhg5,Kha,Hư không,MaiDao Music,22,74,117,269232,2026-04-09,FALSE,-8,Ballad
83,spotify:track:53zusvCJkyGYjEZ6bnLIjh,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,107,56,265938,2026-04-09,FALSE,24,Ballad
84,spotify:track:1UQNU5O9VttUgO16pxUnjw,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,87,131,264626,2026-04-09,FALSE,3,Rap/Hip-hop
85,spotify:track:2pBZoglJzsRk4UeVey8n0k,Việt Anh,Ngày Này Năm Ấy,338ENT,17,115,35,263189,2026-04-09,FALSE,30,Ballad
86,spotify:track:1o6cYDMHvKOfizi4d9Lqxr,W/N,id 072019,Universal Music Indochina Distributed Labels,3,78,141,263065,2026-04-09,FALSE,-8,Pop
87,spotify:track:5BTzf3doGTigDIYUFtbkI9,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,64,276,260551,2026-04-09,FALSE,-23,Ballad
88,spotify:track:3bmpXHVie1GTy37OkXJ7Vc,BTS,2.0,BIGHIT MUSIC,11,71,3,255212,2026-04-09,FALSE,-17,Rap/Hip-hop
89,spotify:track:6Q2oEdOhRjZ1DTv2a7j0lN,"PC, Dick, tofutns",Ghé Qua,12 trái lê,61,96,290,253950,2026-04-09,FALSE,7,Rap/Hip-hop
90,spotify:track:5u5AsK8JLgkr154QHZjJqh,"ANH TRAI ""SAY HI"", VCT, Karik, Negav, Ngô Kiến Huy, Jey B",NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,Universal Music Indochina Distributed Labels,3,100,28,253189,2026-04-09,FALSE,10,Rap/Hip-hop
91,spotify:track:5XfGQZA0ioQAWUjlyJRcHc,"Shiki, Obito",1000 Ánh Mắt,12 trái lê,8,86,93,249753,2026-04-09,FALSE,-5,Rap/Hip-hop
92,spotify:track:0KA8tBqZ81mBe2po59GK5j,Đỗ Hoàng Long,Trạng Thái Mộng Mơ,Umusic Vietnam Co. Ltd. Distributed Labels,92,119,7,246881,2026-04-09,FALSE,27,Indie/Alternative
93,spotify:track:6TGwaBlfUGVoeZMBLzvXGP,"Dangrangto, DONAL",thế giới của anh,Higher Dimension,50,132,10,246116,2026-04-09,FALSE,39,Indie/Alternative
94,spotify:track:226ljdOTLM2clGpm4mZvAm,Dangrangto,Love is,MaiDao Music,10,95,76,245999,2026-04-09,FALSE,1,Indie/Alternative
95,spotify:track:31VNCmwspR7nVJ6kruUuJt,Sơn Tùng M-TP,Đừng Làm Trái Tim Anh Đau,Umusic Vietnam Co. Ltd. Distributed Labels,1,113,96,245845,2026-04-09,FALSE,18,Pop
96,spotify:track:20dAJsyno9ZoBLJtqgQnUI,BTS,Hooligan,BIGHIT MUSIC,8,54,3,243366,2026-04-09,FALSE,-42,Pop
97,spotify:track:7mblTCdc14ylJ1JW71MODb,buitruonglinh,Giờ Thì,LOOPS Music,11,80,69,242156,2026-04-09,FALSE,-17,Indie/Alternative
98,spotify:track:4CVxKSRLUxqUuj2z9vn4fS,SOOBIN,Xin Đừng Lặng Im,"HONG AN ENTERTAIMENT,.JSC",37,102,46,241580,2026-04-09,FALSE,4,Ballad
99,spotify:track:66v7AvDs5gZfmkJgFMMtHL,"Công Dương, Nguyễn Lâm Thảo Tâm, 30 Pictures",A Little Dream Of Me,+84 Vietnam New Wave,22,83,5,240622,2026-04-09,FALSE,-16,Khác
100,spotify:track:1J12HjUuXfJnaUdubTEzSR,HIEUTHUHAI,Nghe Như Tình Yêu,M Music Records,35,91,238,239993,2026-04-09,FALSE,-9,R&B/Soul
101,spotify:track:27F22WcGDyl4Z2KylVJkXL,buitruonglinh,Đường Tôi Chở Em Về,Universal Music Indochina Distributed Labels,14,121,180,239752,2026-04-09,FALSE,20,Indie/Alternative
102,spotify:track:1i5SZL7Ngz0sYFaKmwieyw,"Quang Hùng MasterD, Low G, Hino",Chất Gây Hại,M Music Records,16,99,16,239751,2026-04-09,FALSE,-3,Rap/Hip-hop
103,spotify:track:7q1qYSyRkGT4ZaCc2ZQihP,"Hoàng Tôn, Koo",Em Còn Nhớ Anh Không - Remastered,Hoàng Tôn,69,101,52,239522,2026-04-09,FALSE,-2,Ballad
104,spotify:track:0JKEP4dB1riE6l7Kq5kJm1,Chillies,Em Đừng Khóc,WM Vietnam,3,105,61,238649,2026-04-09,FALSE,1,Indie/Alternative
105,spotify:track:5LQpQ6SDeaz6SIkR0lvsoC,"GREY D, Chillies",đưa em về nhàa,M Music Records,3,110,154,238111,2026-04-09,FALSE,5,R&B/Soul
106,spotify:track:5Bti0azlFhMattVY76qFr9,Vũ.,Lạ Lùng,WM Vietnam,17,97,418,236665,2026-04-09,FALSE,-9,Indie/Alternative
107,spotify:track:25NLn8W1JxuVrXQTVrDA4c,"Dfoxie37, myhoa, Tuann",hello em có khỏe không,Universal Music Indochina Distributed Labels,15,88,19,236426,2026-04-09,FALSE,-19,Pop
108,spotify:track:5PGh9MyKry8slG5AfvD1eD,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,10,106,131,235927,2026-04-09,FALSE,-2,Rap/Hip-hop
109,spotify:track:0SmQ0UWeiHKQtxUej4Rem6,SOOBIN,Tháng Năm,Spacespeakers,6,104,177,235568,2026-04-09,FALSE,-5,Pop
110,spotify:track:4qJSUFwZFouto5VZUlln75,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,117,290,235315,2026-04-09,FALSE,7,R&B/Soul
111,spotify:track:6D94p9ASguBcYlDC0o56vx,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,124,130,233369,2026-04-09,FALSE,13,Rap/Hip-hop
112,spotify:track:51bYFYWODfYOZU0rwvjiCc,"Binz, Đen",Cho Mình Em,Spacespeakers,32,159,124,230587,2026-04-09,FALSE,47,Rap/Hip-hop
113,spotify:track:7fCeYpR02Q8JVuD88hJZVT,"Da LAB, Minh Tốc & Lam",Bầu Trời Mới,Universal Music Indochina Distributed Labels,8,116,79,228687,2026-04-09,FALSE,3,Indie/Alternative
114,spotify:track:5tmA5oQDF0ULqRI12LKCDw,JayKii,Chiều Hôm Ấy,The First Management,95,137,24,227839,2026-04-09,FALSE,23,Ballad
115,spotify:track:1LJyhnPdYGRLerwJd8CmL1,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,1,111,121,226869,2026-04-09,FALSE,-4,Indie/Alternative
116,spotify:track:6GPcbZOX4h9MWert6xWpYw,Phùng Khánh Linh,ANH LÀ THẰNG TỒI,BLACK SWAN LABEL LLC.,37,92,19,225338,2026-04-09,FALSE,-24,Indie/Alternative
117,spotify:track:6E3P4uOfKHYXJLK6Q3s0Tj,"JustaTee, Binz",Cơn Mưa Cuối,NGUYEN THANH TUAN,86,122,23,224060,2026-04-09,FALSE,5,Rap/Hip-hop
118,spotify:track:29Tj2R8sZZ3fzlXZVe1OyY,"Dương Domic, Lou Hoàng",Pin Dự Phòng,DAO Entertainment,13,125,40,223926,2026-04-09,FALSE,7,R&B/Soul
119,spotify:track:0KmrKOdScRDVYwWS8hkkdv,BTS,FYA,BIGHIT MUSIC,9,61,3,222026,2026-04-09,FALSE,-58,Pop
120,spotify:track:4fj4Jn4nw8fGX8xdbCntJf,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,8,128,136,221871,2026-04-09,FALSE,8,Rap/Hip-hop
