rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,chart_week,is_new_entry,rank_change,genre
125,spotify:track:7fCeYpR02Q8JVuD88hJZVT,"Da LAB, Minh Tốc & Lam",Bầu Trời Mới,Universal Music Indochina Distributed Labels,8,133,85,208848,2026-05-21,FALSE,8,Indie/Alternative
126,spotify:track:6E3P4uOfKHYXJLK6Q3s0Tj,"JustaTee, Binz",Cơn Mưa Cuối,NGUYEN THANH TUAN,86,123,29,208469,2026-05-21,FALSE,-3,Rap/Hip-hop
127,spotify:track:1J12HjUuXfJnaUdubTEzSR,HIEUTHUHAI,Nghe Như Tình Yêu,M Music Records,35,130,244,207777,2026-05-21,FALSE,3,R&B/Soul
128,spotify:track:0pavLg3wbL6PVXAgXoWv4S,"24k.Right, Ngắn, Hipz",Một Nửa Sự Thật,Universal Music Indochina,119,122,7,207333,2026-05-21,FALSE,-6,R&B/Soul
129,spotify:track:6epn3r7S14KUqlReYr77hA,"Justin Bieber, Ludacris",Baby,RBMG/Def Jam,27,104,6,205348,2026-05-21,FALSE,-25,Pop
130,spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz,CORTIS,FaSHioN,Republic Records – CORTIS,90,118,24,204129,2026-05-21,FALSE,-12,Pop
131,spotify:track:0rR27Ayle8G7sKoCt8OWUr,Dương Domic,Mất Kết Nối,DAO Entertainment,2,106,78,202677,2026-05-21,FALSE,-25,R&B/Soul
132,spotify:track:7J9l9ebYB3IEs5ea5J1M7a,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,107,161,117,202497,2026-05-21,FALSE,29,Pop
133,spotify:track:6KIhgRkprgyJNERRMu7Quh,MIN,Có Em Chờ,MIN,117,176,54,202367,2026-05-21,FALSE,43,Pop
134,spotify:track:2Wjghh0RpiBquLsJ932X6R,Ronboogz,nhắn nhủ,MaiDao Music,14,82,127,202073,2026-05-21,FALSE,-52,Indie/Alternative
135,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,3,192,67,202050,2026-05-21,FALSE,57,Pop
136,spotify:track:4N99EuIjwSSFFFMDfTeOLU,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,62,152,185,201873,2026-05-21,FALSE,16,Indie/Alternative
137,spotify:track:5PGh9MyKry8slG5AfvD1eD,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,10,145,137,201542,2026-05-21,FALSE,8,Rap/Hip-hop
138,spotify:track:6IxPiUQI4Cd0mL0pBIOjAg,HIEUTHUHAI,Hết Yêu,M Music Records,39,85,4,199702,2026-05-21,FALSE,-53,R&B/Soul
139,spotify:track:6TGwaBlfUGVoeZMBLzvXGP,"Dangrangto, DONAL",thế giới của anh,Higher Dimension,50,143,16,197409,2026-05-21,FALSE,4,Indie/Alternative
140,spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,168,272,196129,2026-05-21,FALSE,28,Indie/Alternative
141,spotify:track:7HoAJ6Hc1P91eoOrn1WY5d,"Đức Trường, BMZ, Kun",Đáng Lý Ra Phải Là Anh,BMZ,90,134,23,196009,2026-05-21,FALSE,-7,Ballad
142,spotify:track:1zvL2X6HPrLfvtSY4DpopE,MIN,Em Mới Là Người Yêu Anh,MIN,1,162,157,195096,2026-05-21,FALSE,20,Pop
143,spotify:track:2ppLwHSMgDGEQ5c8o6nAX2,Low G,Simp Gái 808,M Music Records,9,157,136,193629,2026-05-21,FALSE,14,Rap/Hip-hop
144,spotify:track:0sR5ThoE0uoskXWrm6KDxP,Kha,Hư không,MaiDao Music,22,121,123,192960,2026-05-21,FALSE,-23,Ballad
145,spotify:track:5prZw3OHd2UhAq0VBKpqUM,GREY D,mới hôm qua,Umusic Vietnam Co. Ltd. Distributed Labels,34,148,8,192254,2026-05-21,FALSE,3,R&B/Soul
146,spotify:track:3COYA2vgfcUhDyRlVpZy5p,"tlinh, Low G",PHÓNG ZÌN ZÌN,M Music Records,4,132,87,192228,2026-05-21,FALSE,-14,Rap/Hip-hop
147,spotify:track:2aoGg3figtbrChUCZIopCK,"Tọi, Long Nón Lá, Phương Nghiêm",Mắt Bão,TECHBEAT Music,147,-1,1,192016,2026-05-21,TRUE,NaN,Rap/Hip-hop
148,spotify:track:3gLRyMbg5nWLcuKD46Uz72,Phương Ly,Anh Là Ai,PHUONG LY,109,149,34,191318,2026-05-21,FALSE,1,Pop
149,spotify:track:55K3e7BGewGDUJ4ZQwkh7M,Only C,Người Đáng Thương Là Anh,OnlyC Production,131,131,18,191102,2026-05-21,FALSE,-18,Ballad
150,spotify:track:51bYFYWODfYOZU0rwvjiCc,"Binz, Đen",Cho Mình Em,Spacespeakers,32,144,130,190807,2026-05-21,FALSE,-6,Rap/Hip-hop
151,spotify:track:7dlgEjrK3lHbP786dshKDV,"ANH TRAI ""SAY HI"", B Ray, AMEE",CHỜ ANH VỀ,Universal Music Indochina Distributed Labels,2,142,24,190058,2026-05-21,FALSE,-9,Rap/Hip-hop
152,spotify:track:2G5ujw3rrWcAXQqT8PVnrz,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,182,82,190044,2026-05-21,FALSE,30,Rap/Hip-hop
153,spotify:track:4QNH4OjJ9W10afDYAHi03I,HIEUTHUHAI,Anh Nên Đi Khỏi Đây,M Music Records,36,95,4,189963,2026-05-21,FALSE,-58,Rap/Hip-hop
154,spotify:track:5wYQC7AuxV8ROALWcbVNxc,"Hoàng Dũng, Rhymastic, Lelarec",Giữ Anh Cho Ngày Hôm Qua,Lirico Entertainment,40,156,32,189449,2026-05-21,FALSE,2,Ballad
155,spotify:track:42i1d7gos5WvqZIFWCfE7E,Ngô Lan Hương,"Có công mài ""Sắc""",Ngô Lan Hương Exclusive,85,184,6,188067,2026-05-21,FALSE,29,Pop
156,spotify:track:0jHpGB1Xt2kIX0VaPFvStp,"Tùng TeA, PC, TaynguyenSound",Già Cùng Nhau Là Được,12 trái lê,70,198,146,187797,2026-05-21,FALSE,42,Rap/Hip-hop
157,spotify:track:170CNv2CAZn8wg6GxvHXYC,"B Ray, AMEE",Ex's Hate Me,B Ray,129,172,29,187620,2026-05-21,FALSE,15,Rap/Hip-hop
158,spotify:track:6s3w7SUVtmm68Bw5KrKMh0,BTS,One More Night,BIGHIT MUSIC,21,-1,4,187614,2026-05-21,TRUE,NaN,Pop
159,spotify:track:6D94p9ASguBcYlDC0o56vx,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,136,136,187199,2026-05-21,FALSE,-23,Rap/Hip-hop
160,spotify:track:2uxjHthUJd2A8PmWaUGGsI,"Hoàng Dũng, Hoàng Rob",Chờ Anh Nhé,Lirico Entertainment,99,159,49,186825,2026-05-21,FALSE,-1,Indie/Alternative
161,spotify:track:2GE2p2dFpxp7OIz2QOFBzW,"ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",Anh Trai Say Hi,5,155,82,186118,2026-05-21,FALSE,-6,Rap/Hip-hop
162,spotify:track:3y66li7DIrH7HLKIZzxR5H,Kai Đinh,Lễ Đường,Yin Yang Media,3,141,62,185862,2026-05-21,FALSE,-21,Ballad
163,spotify:track:50cmxP6KlnQA9IG3q5ckKD,Chillies,Mascara,WM Vietnam,3,165,226,183920,2026-05-21,FALSE,2,Indie/Alternative
164,spotify:track:2FnXZhpEKgIab8vI6t2C7e,"Shiki, Tyronee",Perfect,12 trái lê,74,170,58,183586,2026-05-21,FALSE,6,Rap/Hip-hop
165,spotify:track:53zusvCJkyGYjEZ6bnLIjh,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,196,62,183122,2026-05-21,FALSE,31,Ballad
166,spotify:track:7kgzRBNkBRArtTPkYjWLYT,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,DANDERLÉON,9,185,261,180826,2026-05-21,FALSE,19,Ballad
167,spotify:track:25NLn8W1JxuVrXQTVrDA4c,"Dfoxie37, myhoa, Tuann",hello em có khỏe không,Universal Music Indochina Distributed Labels,15,151,25,179842,2026-05-21,FALSE,-16,Pop
168,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,169,152,179713,2026-05-21,FALSE,1,R&B/Soul
169,spotify:track:527UV7H9SbnmTVkxBVg56X,Sơn Tùng M-TP,Chắc Ai Đó Sẽ Về,Umusic Vietnam Co. Ltd. Distributed Labels,126,195,37,179317,2026-05-21,FALSE,26,Pop
170,spotify:track:3UJ2gSPFPSkPKZghRI8y1e,Dangrangto,Love is,MaiDao Music,10,97,82,177478,2026-05-21,FALSE,-73,Indie/Alternative
171,spotify:track:1fFvYVg1v3rpUSqKNCUh7b,VCT,Người Bình Thường,Universal Music Indochina Distributed Labels,49,174,59,177071,2026-05-21,FALSE,3,Ballad
172,spotify:track:498g7npirihKT5MPdVSfb0,Hoàng Dũng,Phonecert,"CAM, LIRICO",137,163,22,174753,2026-05-21,FALSE,-9,R&B/Soul
173,spotify:track:1mtmvJjTchdqDCoJbFv1Op,"OgeNus, Dangrangto",Tuyển Bạn Gái,Universal Music Indochina Distributed Labels,40,158,6,174367,2026-05-21,FALSE,-15,Rap/Hip-hop
174,spotify:track:6hUpxEKFSjS8metuA1yxlf,SOOBIN,Vai Lan Don Dua,Space Speakers,46,-1,243,174222,2026-05-21,TRUE,NaN,Pop
175,spotify:track:3H6nzsPNMttEvUl3ai3xN8,Chillies,Vùng Ký Ức,WM Vietnam,1,190,129,174125,2026-05-21,FALSE,15,Indie/Alternative
176,spotify:track:1izPmgSW7FV6XFdEOiTvOY,"Changg, Minh Huy",Em Không Hiểu,Universal Music Indochina Distributed Labels,27,-1,242,173923,2026-05-21,TRUE,NaN,R&B/Soul
177,spotify:track:4D1eaEIisnWCVPMnYuMh7q,白浩贤BlueC,漫步香港1999,腾讯音乐人,13,166,14,173879,2026-05-21,FALSE,-11,Indie/Alternative
178,spotify:track:1YG2V1ejfyoKgrPPGJDrVW,"Dương Domic, Lou Hoàng",Pin Dự Phòng,DAO Entertainment,13,179,46,170774,2026-05-21,FALSE,1,R&B/Soul
179,spotify:track:7AD5F85waSb3yZxZxEXhJM,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,-1,146,170680,2026-05-21,TRUE,NaN,EDM/Dance
180,spotify:track:3J06iY9IRWKr1H0zIxrUby,"Orange, Hoàng Dũng",Khi Em Lớn,Universal Music Indochina,4,-1,224,170450,2026-05-21,TRUE,NaN,R&B/Soul
181,spotify:track:5iMdP8UpQS4Vn43R30fhhs,Only C,Đau Để Trưởng Thành,Onlyc Entertainment,130,-1,19,167907,2026-05-21,TRUE,NaN,Ballad
182,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,4,173,89,167068,2026-05-21,FALSE,-9,Ballad
183,spotify:track:5YPU2SdqR2pOsfFs5AW25q,"Rum, NIT",Kém Duyên,Rum,120,-1,7,166331,2026-05-21,TRUE,NaN,Indie/Alternative
184,spotify:track:08ULi904W2Po6pVj8nN7KC,"GREY D, Chillies",đưa em về nhàa,Umusic Vietnam Co. Ltd. Distributed Labels,3,188,158,165093,2026-05-21,FALSE,4,R&B/Soul
185,spotify:track:6UFvSmKzCZ16fxsybf4PhE,"Nguyễn Trọng Tài, Don Raemo, Double X",HONGKONG1,T2B Media,150,150,12,164699,2026-05-21,FALSE,-35,Indie/Alternative
186,spotify:track:7jLSThU5Kg1RWt19Leiaxm,"RPT MCK, Trung Trần",Chìm Sâu,abandonh3ll records,1,199,220,164168,2026-05-21,FALSE,13,R&B/Soul
187,spotify:track:4FT18tLTmf3QNBzG5r6OTj,"Đen, Ngọc Linh",Mười Năm (Lộn Xộn 3),Đen,17,-1,132,163660,2026-05-21,TRUE,NaN,Rap/Hip-hop
188,spotify:track:4qYfRfSxsmhJ1WMaywtLyI,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,177,123,163492,2026-05-21,FALSE,-11,R&B/Soul
189,spotify:track:5xuaCJaNAqRLwV7OO5zPiF,"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),"HONG AN ENTERTAIMENT,.JSC",11,-1,290,163324,2026-05-21,TRUE,NaN,R&B/Soul
190,spotify:track:55Eo6NDkVhSRBonrT16kXM,"Cloud 5, Dangrangto",Đến Đây Bên Anh,Yin Yang Media,66,-1,58,163267,2026-05-21,TRUE,NaN,Indie/Alternative
191,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,38,180,16,162917,2026-05-21,FALSE,-11,Pop
192,spotify:track:2SykQzXuFSeprST1uDjj1m,AMEE,trời giấu trời mang đi,Yin Yang Media,52,-1,86,162539,2026-05-21,TRUE,NaN,R&B/Soul
193,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,21,197,202,161291,2026-05-21,FALSE,4,R&B/Soul
194,spotify:track:3ZbZtdEw9U0uZW4tZItIwq,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,-1,121,161040,2026-05-21,TRUE,NaN,Rap/Hip-hop
195,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2,-1,69,161000,2026-05-21,TRUE,NaN,Pop
196,spotify:track:5zXCoF69UxPNLrpar8Rk7e,Nguyễn Hùng,Còn Gì Đẹp Hơn - Mưa Đỏ Original Soundtrack,Universal Music Indochina Distributed Labels,2,-1,34,160543,2026-05-21,TRUE,NaN,Khác
197,spotify:track:65st6HfPZyxq1RNTvqSIos,"Wren Evans, itsnk",Thu Đợi,Universal Music Indochina Distributed Labels,6,183,21,159538,2026-05-21,FALSE,-14,R&B/Soul
198,spotify:track:1uiqiUzPn2EJpvHDy84PEZ,"EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều",KHÔNG ĐAU NỮA RỒI,Em Xinh Say Hi,2,200,46,159085,2026-05-21,FALSE,2,Rap/Hip-hop
199,spotify:track:2OSjnBrQQ0CNKxIUM2GQDk,"JustaTee, Binz",Crying Over You,NGUYEN THANH TUAN,199,-1,1,158518,2026-05-21,TRUE,NaN,R&B/Soul
200,spotify:track:2kt7udEZmN2kj1Jsl118zY,Wxrdie,0 AI NGHĨ,M Music Records,92,-1,33,157970,2026-05-21,TRUE,NaN,Rap/Hip-hop
1,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,1,150,2331269,2026-05-28,FALSE,0,Pop
2,spotify:track:68lbSrXDORS51pmyjZv712,BTS,SWIM,BIGHIT MUSIC,1,2,10,1723176,2026-05-28,FALSE,0,Pop
3,spotify:track:1ApIGNgp1azc0qB61x4GzG,"Hngle, Ari",Không Buông,Umusic Vietnam Co. Ltd. Distributed Labels,2,3,38,911671,2026-05-28,FALSE,0,Pop
4,spotify:track:0a32EBPjqAe47cYDPE5Ia5,"Binz, SOOBIN",Em (feat. SOOBIN),SS LABEL,4,-1,1,857352,2026-05-28,TRUE,NaN,R&B/Soul
5,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,5,133,796857,2026-05-28,FALSE,0,Pop
6,spotify:track:5xVCfx47vCXuLdpfbepqEo,HIEUTHUHAI,Người Im Lặng Gặp Người Hay Nói,M Music Records,2,4,12,720760,2026-05-28,FALSE,-2,Rap/Hip-hop
7,spotify:track:73RcFjiDtStfP3GCW44vJu,"Minh Huy, Pinny",Ngày Rời Chuyến Bay,12 trái lê,6,6,8,688856,2026-05-28,FALSE,-1,Ballad
8,spotify:track:7uUuftbcr94tzGOCJSM25u,"Low G, JustaTee",In Love,M Music Records,2,7,31,665699,2026-05-28,FALSE,-1,Rap/Hip-hop
9,spotify:track:4nXrVH5xwN1w6TpmP7uu8n,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,4,8,137,628285,2026-05-28,FALSE,-1,Rap/Hip-hop
10,spotify:track:0NyrI1tMvqcK3vU5z9DMdI,JustaTee,She Neva Knows,NGUYEN THANH TUAN,10,13,17,626048,2026-05-28,FALSE,3,R&B/Soul
11,spotify:track:7bFFUPBiF15n8m8RziqS4o,GREY D,dự báo thời tiết hôm nay mưa,Umusic Vietnam Co. Ltd. Distributed Labels,7,9,184,617954,2026-05-28,FALSE,-2,R&B/Soul
12,spotify:track:6Qwl74olNi1rl65FNxG5We,"marzuz, Changg",Và Thế Giới Đã Mất Đi Một Người Cô Đơn,Universal Music Indochina,7,11,27,525474,2026-05-28,FALSE,-1,Ballad
13,spotify:track:2a5hng9yXtbjtTVVm9UviC,VCT,Mơ,Universal Music Indochina Distributed Labels,6,12,196,510607,2026-05-28,FALSE,-1,Pop
14,spotify:track:2fCwv2ppU5nTRTckomIGsd,CORTIS,REDRED,Republic Records – CORTIS,5,10,6,490144,2026-05-28,FALSE,-4,Pop
15,spotify:track:2wZAvkgiOE5tyrnqhB69KA,Sơn Tùng M-TP,Âm Thầm Bên Em,Umusic Vietnam Co. Ltd. Distributed Labels,9,14,292,489824,2026-05-28,FALSE,-1,Ballad
16,spotify:track:41DlPJXKTCypXdf2eSqa03,"Vũ., Binz",bình yên,WM Vietnam,4,16,91,464647,2026-05-28,FALSE,0,Rap/Hip-hop
17,spotify:track:6Zoi4ue74UdUeYmHXItXnf,"B Ray, V#",Vùng An Toàn,MIXUS,3,21,47,464149,2026-05-28,FALSE,4,Rap/Hip-hop
18,spotify:track:4BdB08vuS9r4HOoY7GkAxT,SOOBIN,Nếu Ngày Ấy,SS LABEL,18,18,75,454128,2026-05-28,FALSE,0,Ballad
19,spotify:track:5KYv3kORBKUmVEoqbRRWxt,"Bảo Anh, Táo",Từng Là Của Nhau,Yin Yang Media,7,15,38,452581,2026-05-28,FALSE,-4,Ballad
20,spotify:track:4CUvVaAYuXtvYURLFz7EIL,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,26,234,443391,2026-05-28,FALSE,6,Ballad
21,spotify:track:6GM4ZOBDcDroldUxI8GZ2B,"VSTRA, Tyronee",Ai Ngoài Anh,CDSL,2,19,21,442509,2026-05-28,FALSE,-2,R&B/Soul
22,spotify:track:6mKMGpkgP2cH5gmqILWe7b,Fishy,vết thương,LOOPS Music,15,28,54,437288,2026-05-28,FALSE,6,Ballad
23,spotify:track:27Z9T0mSWHYWSj9SNOGvyt,"JustaTee, Phương Ly",Thằng Điên,NGUYEN THANH TUAN,2,29,199,420785,2026-05-28,FALSE,6,R&B/Soul
24,spotify:track:3J3nv18iIrOhca1ZWNeuyW,JustaTee,Đã Lỡ Yêu Em Nhiều,NGUYEN THANH TUAN,24,37,173,410070,2026-05-28,FALSE,13,Ballad
25,spotify:track:0t8g66pWghsU8MphjUQIdg,"Phùng Khánh Linh, 30 Pictures",Cảm Ơn Người Đã Thức Cùng Tôi,+84 Vietnam New Wave,5,25,14,406765,2026-05-28,FALSE,0,Ballad
26,spotify:track:5cn5oHiXJTLiuthgbgfkMh,VCT,Vết Mưa,Universal Music Indochina Distributed Labels,19,20,116,406009,2026-05-28,FALSE,-6,Ballad
27,spotify:track:3T7XHOdRcyhKU3QCB6kZG3,"MIN, Dangrangto, antransax",chẳng phải tình đầu sao đau đến thế,WM Vietnam,2,33,31,403213,2026-05-28,FALSE,6,Indie/Alternative
28,spotify:track:1MiJk3dXC5jzhvLFP0dUM7,Da LAB,Thức Giấc,Yin Yang Media,1,46,255,398388,2026-05-28,FALSE,18,Pop
29,spotify:track:1K0HQ30Wc11okzlcnFA7Ub,HIEUTHUHAI,Không Thể Say,M Music Records,7,22,162,396669,2026-05-28,FALSE,-7,Rap/Hip-hop
30,spotify:track:42AOwjuMmIN1ioyyWB60Lw,GREY D,hoá ra…,Umusic Vietnam Co. Ltd. Distributed Labels,5,23,9,386139,2026-05-28,FALSE,-7,R&B/Soul
31,spotify:track:5rSAUmbOg4giDrM29vUyHe,Sơn Tùng M-TP,Nơi Này Có Anh,Umusic Vietnam Co. Ltd. Distributed Labels,5,31,364,385480,2026-05-28,FALSE,0,Pop
32,spotify:track:2o4dDfLK6NVI7TjBm5VoMv,"Lou Hoàng, Miu Lê",Yêu Một Người Có Lẽ,Onlyc Entertainment,17,17,223,385285,2026-05-28,FALSE,-15,Pop
33,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,27,213,383521,2026-05-28,FALSE,-6,R&B/Soul
34,spotify:track:11T61UpoNbbcewOMl1kcWN,NHONHO,Dạo Bước HongKong 1999,NHONHO,5,30,9,376867,2026-05-28,FALSE,-4,Indie/Alternative
35,spotify:track:3x7Hh3zsE1wcXCU2G8l5tP,SOOBIN,DANCING IN THE DARK,SS LABEL,3,36,63,374554,2026-05-28,FALSE,1,EDM/Dance
36,spotify:track:3Ids3RXurYBgySph53qWnB,buitruonglinh,Từng Ngày Yêu Em,LOOPS Music,9,35,73,372783,2026-05-28,FALSE,-1,Indie/Alternative
37,spotify:track:0fGJiHH6xSUJU1MAVjxq5m,"Karik, GDucky",Bạn Đời,WM Vietnam,5,32,139,368373,2026-05-28,FALSE,-5,Rap/Hip-hop
38,spotify:track:6VXVYATpQXEIoZ97NnWCmn,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,47,199,366455,2026-05-28,FALSE,9,Ballad
39,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,"Justin Bieber, Nicki Minaj",Beauty And A Beat,RBMG/Def Jam,9,24,7,357546,2026-05-28,FALSE,-15,EDM/Dance
40,spotify:track:4UC3NBjtqbYcqPqRq1s57D,Lyly,24h,WM Vietnam,40,54,54,355051,2026-05-28,FALSE,14,Ballad
41,spotify:track:4gaxEUZE4z9pJAVTSFwgQI,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,14,40,113,354791,2026-05-28,FALSE,-1,Indie/Alternative
42,spotify:track:5tdz7T4hTxA1ipJMBe24uX,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,39,188,354342,2026-05-28,FALSE,-3,Pop
43,spotify:track:1DVYafsLmcQySKkJnY4RCs,"MAYDAYs, Minh Tốc & Lam",Phép Màu - Đàn Cá Gỗ Original Soundtrack,Universal Music Indochina Distributed Labels,2,48,65,348787,2026-05-28,FALSE,5,Khác
44,spotify:track:6Hs2xIgB8nzyGFDvVA8lFa,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,38,214,344429,2026-05-28,FALSE,-6,Rap/Hip-hop
45,spotify:track:3dbfL7nHOZlM4adzLHNnB3,"Juky San, buitruonglinh",Người Đầu Tiên,DAO Entertainment,2,34,30,337311,2026-05-28,FALSE,-11,Ballad
46,spotify:track:7mblTCdc14ylJ1JW71MODb,buitruonglinh,Giờ Thì,LOOPS Music,11,41,76,333589,2026-05-28,FALSE,-5,Indie/Alternative
47,spotify:track:4MCP9l0QB9YN2LCkIy8mz4,Obito,Dạo Này,12 trái lê,8,43,22,331644,2026-05-28,FALSE,-4,Rap/Hip-hop
48,spotify:track:6nInHlewtrNKguNKlXt0Ur,"Shartnuss, Phankeo, Tr.D",Nắng có mang em về,MaiDao Music,4,45,120,324863,2026-05-28,FALSE,-3,Indie/Alternative
49,spotify:track:58ZlEBxBrzISXtmcOPo476,SOOBIN,giá như,SS LABEL,13,44,111,324109,2026-05-28,FALSE,-5,Ballad
50,spotify:track:4nyoalDFgUaZOzIKqj3aS5,"Đặng Vĩnh Thịnh, BMZ, Nguyễn Trung Đức",Ngàn Năm Ánh Sáng,BMZ JSC,5,49,42,322475,2026-05-28,FALSE,-1,Ballad
51,spotify:track:6n2xOcqQrNOY0IfgATSwWs,"Puppy, Dangrangto",Wrong Times,MaiDao Music,3,55,134,317377,2026-05-28,FALSE,4,Indie/Alternative
52,spotify:track:1r9gNSD1WUFscqTSA2Rcet,MAYDAYs,Hẹn Lần Sau,Universal Music Indochina Distributed Labels,13,63,23,311434,2026-05-28,FALSE,11,Indie/Alternative
53,spotify:track:5BTzf3doGTigDIYUFtbkI9,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,72,283,309169,2026-05-28,FALSE,19,Ballad
54,spotify:track:31VNCmwspR7nVJ6kruUuJt,Sơn Tùng M-TP,Đừng Làm Trái Tim Anh Đau,Umusic Vietnam Co. Ltd. Distributed Labels,1,60,103,302830,2026-05-28,FALSE,6,Pop
55,spotify:track:2pm7K14nHj2fLrpU8j9bit,PC,10 Ngàn Năm,12 trái lê,27,51,207,299911,2026-05-28,FALSE,-4,Rap/Hip-hop
56,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,50,138,299419,2026-05-28,FALSE,-6,Pop
57,spotify:track:1UhQ0VwKq2PGnLiAZOJYV1,Binz,Em,SS LABEL,4,-1,27,296948,2026-05-28,TRUE,NaN,R&B/Soul
58,spotify:track:6ag0c7tBr3PIqPb00C2rK4,"VCT, Negav, Jey B, Ngô Kiến Huy",NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN - KHÔNG ĐAU NỮA RỒI,VIE NETWORK CORPORATION / ADA,45,66,13,294843,2026-05-28,FALSE,8,Rap/Hip-hop
59,spotify:track:3vSmjbKFByNM6l31NmFlmB,"GREY D, MIN",đôi mắt kẻ tình si,Umusic Vietnam Co. Ltd. Distributed Labels,12,53,9,292096,2026-05-28,FALSE,-6,R&B/Soul
60,spotify:track:4QalnBNnw9uK1dj543nf76,Dương Domic,Không Thời Gian,DAO Entertainment,2,61,36,290984,2026-05-28,FALSE,1,R&B/Soul
61,spotify:track:7Ldcvhcl4Xj4eOTSWpZus5,CORTIS,ACAI,Republic Records – CORTIS,25,42,4,286875,2026-05-28,FALSE,-19,Pop
62,spotify:track:25h0TqC9H3BcMA7KjK5nHK,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,Umusic Vietnam Co. Ltd. Distributed Labels,2,57,206,283391,2026-05-28,FALSE,-5,R&B/Soul
63,spotify:track:66v7AvDs5gZfmkJgFMMtHL,"Công Dương, Nguyễn Lâm Thảo Tâm, 30 Pictures",A Little Dream Of Me,+84 Vietnam New Wave,22,70,12,282259,2026-05-28,FALSE,7,Khác
64,spotify:track:5ouxRyInSdRBQubu3KTd97,"tlinh, 2Pillz",nếu lúc đó,M Music Records,1,75,169,282078,2026-05-28,FALSE,11,R&B/Soul
65,spotify:track:54UNNgtE3zzERwTuWSQLqd,"MONSTAR, GREY D, VƯƠNG BÌNH",có hẹn với thanh xuân,Yin Yang Media,5,95,176,278900,2026-05-28,FALSE,30,R&B/Soul
66,spotify:track:71luUs5K7N1fdf7ecMKg04,B Ray,Cho Con (Lullaby pt.2),Great Entertainment/Sony Music,66,-1,1,278439,2026-05-28,TRUE,NaN,Rap/Hip-hop
